w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.04629852,0.1117786,0.0106699,0.02395679,0.62006333,0.07272211,0.11451074,0.18196149794022848,-0.0073033714156383045
0.25228554,0.11766465,0.29895842,0.12987029,0.06623615,0.10003723,0.03494773,0.14998463775235615,-0.03928023160351063
0.08675342,0.19773837,0.05233985,0.10585115,0.29819398,0.06639202,0.19273121,0.18889317415205906,-0.0003716952038077259
0.0072538,0.16858469,0.19878452,0.32716038,0.01591471,0.13239555,0.14990636,0.17652398074229808,-0.012740888613568702
0.05377599,0.41066418,0.17220508,0.06227006,0.16744834,0.06870209,0.06493426,0.19070125129288343,0.0014363819370166453
0.26447907,0.10974533,0.00605374,0.02763102,0.09162604,0.44253187,0.05793292,0.08965083140096088,-0.0996140379549059
0.16915922,0.03179482,6.792e-05,0.18054642,0.10893624,0.25966911,0.24982627,0.1382346677893123,-0.051030201566554495
0.20122328,0.04191934,0.01265656,0.01025793,0.61080691,0.12248805,0.00064793,0.2035372245069142,0.014272355151047411
0.22327594,0.30749806,0.00123977,0.01252024,0.11009901,0.34510964,0.00025734,0.12490799135784617,-0.06435687799802062
0.00798761,0.21525122,0.11384006,0.20469158,0.43790721,0.01586511,0.00445721,0.19080508405891577,0.001540214703048992
0.2876273,0.17111676,0.1027684,0.13145838,0.02180426,0.16308815,0.12213675,0.13435353054134602,-0.05491133881452076
0.20684835,0.11048943,0.17820471,0.08838992,0.05478957,0.15806064,0.20321738,0.16537081991598285,-0.023894049439883935
0.05633513,0.13665609,0.27691492,0.24317448,0.11921876,0.13742145,0.03027916,0.1753992789688584,-0.01386559038700838
0.09922897,0.03968807,0.25141986,0.11318063,0.43261327,0.05616249,0.00770671,0.2313929248391962,0.04212805548332943
0.06794061,0.26519949,0.0908976,0.04201394,0.27097819,0.23004215,0.03292802,0.19593724726039946,0.006672377904532678
0.4104968,0.16180405,0.04522988,0.01089462,0.11844724,0.13961743,0.11350998,0.1321650745245438,-0.05709979483132299
0.178869,0.06689817,0.06130811,0.00493693,0.54910193,0.09046555,0.04842031,0.2112541506197069,0.021989281263840116
0.14798123,0.03824853,0.11616343,0.04419095,0.38704464,0.24820046,0.01817075,0.1870007052476123,-0.002264164108254474
0.14123205,0.00457025,0.06833646,0.04959667,0.2823404,0.2517693,0.20215487,0.17969540616850574,-0.009569463187361044
0.12584955,0.37732117,0.12424619,0.02576889,0.04650548,0.07762572,0.22268299,0.1802908753759429,-0.008973993979923878
0.13128836,0.09234015,0.34177268,0.08185172,0.05248502,0.26676256,0.03349951,0.1386096748176274,-0.050655194538239384
0.03342914,0.0340409,0.11199588,0.02336138,0.46170116,0.3189462,0.01652534,0.2002663866028871,0.01100151724702031
0.10018745,0.07475055,0.21843861,0.06560346,0.17862466,0.03605135,0.32634393,0.20424324107329975,0.014978371717432964
0.01054772,0.28703312,0.00903372,0.05834658,0.53581528,0.08776044,0.01146315,0.17284111973065083,-0.01642374962521595
0.15619145,0.18651909,0.11532515,0.07249081,0.04924463,0.29059431,0.12963454,0.14463833330014797,-0.04462653605571881
0.01710412,0.11357914,0.178328,0.35793985,0.18762507,0.11829543,0.02712838,0.19569073236358164,0.00642586300771486
0.03042497,0.12030923,0.11706402,0.16563457,0.13417644,0.04085755,0.39153322,0.1684306045558589,-0.020834264800007884
0.19063907,0.20999889,0.07896343,0.30493855,0.17012618,0.02053966,0.02479423,0.19212215223662332,0.00285728288075654
0.00328366,0.11240045,0.08051924,0.01368626,0.40908135,0.0817898,0.29923923,0.17981618814537303,-0.009448681210493748
0.39586117,0.33160119,0.13219188,0.06264168,0.05236092,0.00266714,0.02267602,0.16139176708173048,-0.027873102274136308
0.10737427,0.01928188,0.09116301,0.52464377,0.14947073,0.06288399,0.04518236,0.16159670631724088,-0.027668163038625904
0.12661077,0.12433169,0.24625012,0.03610317,0.32478497,0.0965487,0.04537058,0.21938757554911031,0.03012270619324353
0.66556669,0.00566241,0.06683049,0.17796787,0.02505597,0.04779617,0.01112041,0.06373726542018854,-0.12552760393567824
0.3679582,0.13741189,0.04617769,0.08344307,0.11565819,0.13207589,0.11727506,0.13540417752915704,-0.053860691826709745
0.17194904,0.14363253,0.09214808,0.13586414,0.18012859,0.1386696,0.13760803,0.18622399898021688,-0.003040870375649901
0.52557982,0.12646611,0.15684767,0.0453925,0.01560143,0.00813989,0.12197258,0.12186331254721444,-0.06740155680865234
0.10252777,0.04943558,0.1690776,0.17116928,0.11376177,0.21301313,0.18101487,0.1728912261995985,-0.01637364315626827
0.01081894,0.16045142,0.08348994,0.19302682,0.00591838,0.05974571,0.4865488,0.13710234739241775,-0.05216252196344903
0.25624661,0.00758764,0.1731429,0.03367484,0.29757284,0.1901458,0.04162937,0.16567333651383834,-0.023591532842028445
0.30117753,0.14015476,0.07584142,0.01713635,0.03850722,0.08129644,0.34588628,0.16690405053490165,-0.022360818820965134
0.09811533,0.08770286,0.04825816,0.22081429,0.12136875,0.01651,0.40723061,0.16752057005906681,-0.021744299296799968
0.22008729,0.23108569,0.04584565,0.05127614,0.08747035,0.25629087,0.107944,0.14316958366483293,-0.046095285691033855
0.11183481,0.00894545,0.51162737,0.22339134,0.08547234,0.00513171,0.05359698,0.13581161558079627,-0.053453253775070514
0.00259613,0.16063857,0.23471813,0.22438221,0.09555814,0.11533496,0.16677187,0.1909952260996952,0.001730356743828404
0.09043678,0.09103663,0.24191077,0.18176294,0.0916443,0.16288393,0.14032464,0.1780859928441198,-0.011178876511746982
0.04679836,0.13187084,0.11322349,0.38181487,0.0279919,0.19797269,0.10032783,0.15038770751946165,-0.03887716183640513
0.03217418,0.10645985,0.08534972,0.3374113,0.01108725,0.41979486,0.00772283,0.09113701623544809,-0.09812785312041869
0.13002829,0.02929298,0.06659896,0.04073141,0.15844846,0.55178232,0.02311758,0.09439861676366147,-0.09486625259220531
0.10429869,0.2837661,0.14216397,0.30133612,0.05874365,0.02915456,0.08053691,0.1881235776128057,-0.0011412917430610736
0.14597191,0.16453992,0.43629754,0.01627088,0.07062485,0.12462368,0.04167122,0.15344846408342888,-0.0358164052724379
0.24522524,0.05048293,0.04392304,0.19803306,0.14148355,0.29931488,0.02153728,0.10374157265006059,-0.08552329670580619
0.08301956,0.00666019,0.10256306,0.27451234,0.07149032,0.18963183,0.2721227,0.1679540841123863,-0.021310785243480485
0.05595715,0.09003352,0.35357771,0.09201159,0.04319391,0.00845545,0.35677066,0.16638210686969307,-0.022882762486173713
0.21010561,0.09972157,0.48178629,0.01410322,0.03168103,0.13052371,0.03207857,0.14160013686320053,-0.047664732492666256
0.25202872,0.03635683,0.17729794,0.17043163,0.03417062,0.22847128,0.10124298,0.11586590627942556,-0.07339896307644123
0.13393545,0.14981696,0.0062227,0.15300875,0.08277137,0.24974955,0.22449522,0.15045539552638781,-0.03880947382947897
0.08251233,0.02371648,0.10501686,0.25906361,0.27582592,0.16068689,0.09317791,0.19938821098394544,0.010123341628078653
