horizon,model_id,model_label,prediction_decile,n,top_count,observed_top_share,baseline_top_share,enrichment_over_baseline,ci_low,ci_high,bootstrap_iterations,bootstrap_unit
3,broad_t0,Broad T0 219,8.0,39512,5023,0.12712593642437742,0.10000809843649561,1.2711564204483043,0.12111069687228665,0.13513961731840204,2000,publication_year
3,broad_t0,Broad T0 219,9.0,39512,8264,0.20915165013160558,0.10000809843649561,2.0913471348964334,0.19782742349820395,0.22598043928628544,2000,publication_year
3,broad_t0,Broad T0 219,10.0,39517,16932,0.4284738213933244,0.10000809843649561,4.284391245229026,0.40511705634463874,0.45398199826026114,2000,publication_year
5,strict,Strict 7,1.0,31730,355,0.011188150015757958,0.1000056735442631,0.11187515287126203,0.006504698067516107,0.015172178866864458,2000,publication_year
5,strict,Strict 7,2.0,31725,356,0.011221434200157605,0.1000056735442631,0.11220797583240047,0.007590378184451207,0.013411401671461928,2000,publication_year
5,strict,Strict 7,3.0,31726,569,0.01793481686944462,0.1000056735442631,0.17933799387398322,0.012185095869405997,0.021935425210976082,2000,publication_year
5,strict,Strict 7,4.0,31725,894,0.02817966903073286,0.1000056735442631,0.2817807033543989,0.02132597793476795,0.032662758981493165,2000,publication_year
5,strict,Strict 7,5.0,31728,1385,0.043652294503277865,0.1000056735442631,0.4364981801153222,0.036826691012972854,0.04920103330694896,2000,publication_year
5,strict,Strict 7,6.0,31724,1916,0.060395914764846806,0.1000056735442631,0.6039248837028753,0.05306332906935477,0.06629147955197798,2000,publication_year
5,strict,Strict 7,7.0,31725,2743,0.08646178092986603,0.1000056735442631,0.8645687576075126,0.07924739233239096,0.09147192513774,2000,publication_year
5,strict,Strict 7,8.0,31726,4223,0.13310849145811007,0.1000056735442631,1.3310093991736927,0.12556283533295148,0.14146476812299022,2000,publication_year
5,strict,Strict 7,9.0,31725,6697,0.21109535066981874,0.1000056735442631,2.1108337476111965,0.19848714143054924,0.22973047455846177,2000,publication_year
5,strict,Strict 7,10.0,31728,12590,0.3968103883005547,0.1000056735442631,3.9678787636475854,0.3810451001074804,0.41249178074992343,2000,publication_year
5,primary,Primary 16,1.0,31730,346,0.01090450677592184,0.1000056735442631,0.10903888139001876,0.006247939993223127,0.014858204908566318,2000,publication_year
5,primary,Primary 16,2.0,31725,361,0.011379038613081167,0.1000056735442631,0.11378393054914768,0.007491975615569814,0.013789261707437248,2000,publication_year
5,primary,Primary 16,3.0,31726,525,0.016547941751245035,0.1000056735442631,0.16547002949708467,0.011174563894938752,0.020091129684848965,2000,publication_year
5,primary,Primary 16,4.0,31725,825,0.026004728132387706,0.1000056735442631,0.2600325282632876,0.019850517833390143,0.02984878966122614,2000,publication_year
5,primary,Primary 16,5.0,31728,1423,0.044849974785678266,0.1000056735442631,0.44847430346866674,0.03695786286787637,0.051919673286941116,2000,publication_year
5,primary,Primary 16,6.0,31724,1712,0.05396545202370445,0.1000056735442631,0.5396239044359721,0.04570167829663856,0.059769176890746394,2000,publication_year
5,primary,Primary 16,7.0,31725,2555,0.08053585500394012,0.1000056735442631,0.805312860257818,0.07227240371038123,0.08683961253380099,2000,publication_year
5,primary,Primary 16,8.0,31726,3957,0.12472420097081258,0.1000056735442631,1.2471712508951696,0.11709043053243723,0.13140857248111204,2000,publication_year
5,primary,Primary 16,9.0,31725,6588,0.2076595744680851,0.1000056735442631,2.0764779347861078,0.19424702328950857,0.22339976036633313,2000,publication_year
5,primary,Primary 16,10.0,31728,13436,0.4234745335350479,0.1000056735442631,4.234505088829941,0.4079299340833962,0.4445462455112033,2000,publication_year
5,expanded,Expanded 153,1.0,31730,328,0.010337220296249606,0.1000056735442631,0.10336633842753223,0.005332506237512171,0.014611546901115036,2000,publication_year
5,expanded,Expanded 153,2.0,31725,370,0.011662726556343577,0.1000056735442631,0.11662064903929262,0.007703467000218855,0.014414827593462643,2000,publication_year
5,expanded,Expanded 153,3.0,31726,484,0.015255626300195424,0.1000056735442631,0.15254760814588378,0.011235708696877544,0.01789461082089784,2000,publication_year
5,expanded,Expanded 153,4.0,31725,757,0.023861308116627265,0.1000056735442631,0.2385995441155257,0.018753302512602876,0.027923629447165973,2000,publication_year
5,expanded,Expanded 153,5.0,31728,1287,0.04056354009077156,0.1000056735442631,0.4056123883093283,0.034477414821349694,0.044726332095467565,2000,publication_year
5,expanded,Expanded 153,6.0,31724,1765,0.05563611146135418,0.1000056735442631,0.5563295510102165,0.04916353081465597,0.060431981151268445,2000,publication_year
5,expanded,Expanded 153,7.0,31725,2540,0.08006304176516943,0.1000056735442631,0.8005849961075764,0.07265581149643789,0.08716910302409843,2000,publication_year
5,expanded,Expanded 153,8.0,31726,4100,0.12923154510496124,0.1000056735442631,1.29224213512009,0.12048842996962411,0.13742699631297442,2000,publication_year
