horizon,model_id,model_label,domain12,domain_label,window_start,window_end,n,spearman,status,overall_n_oof,overall_spearman
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1987,1989,1356,0.6228972783450343,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1988,1990,1410,0.6558937848479071,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1989,1991,1326,0.6743435145731809,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1990,1992,1324,0.699608404824731,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1991,1993,1229,0.727288583788102,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1992,1994,1158,0.7382873397910732,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1993,1995,1049,0.7148251396527736,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1994,1996,1016,0.6956880707290076,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1995,1997,1061,0.6794339182122481,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1996,1998,1164,0.6928026815092759,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1997,1999,1227,0.7197909407677369,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1998,2000,1293,0.7377390968016911,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",1999,2001,1260,0.7565150490530065,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2000,2002,1258,0.7861308661088944,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2001,2003,1269,0.7922146145199065,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2002,2004,1315,0.794615023192202,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2003,2005,1419,0.7872063977163433,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2004,2006,1406,0.7909158659210639,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2005,2007,1475,0.8118559706313425,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2006,2008,1757,0.811770432662951,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2007,2009,2135,0.8064796444644833,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2008,2010,2439,0.7990046665946271,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2009,2011,2618,0.7962201578913619,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2010,2012,2947,0.8052732185016187,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2011,2013,3376,0.8021197125220119,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2012,2014,3921,0.7914490835324595,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2013,2015,4769,0.7540594702453831,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2014,2016,6258,0.6917011949807019,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2015,2017,8331,0.6423933000355828,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2016,2018,9466,0.6152175366857153,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2017,2019,10264,0.5943478484164831,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2018,2020,10398,0.5699843827686113,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2019,2021,11385,0.549375343275075,reliable,396300,0.6994743713368489
3,strict,Strict 7,earth_climate_environment,"Earth, climate & environment",2020,2022,12227,0.5603056518979675,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1986,1988,888,0.6361535524156107,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1987,1989,777,0.6146435786171403,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1988,1990,701,0.6466853735430147,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1989,1991,639,0.6415690563150594,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1990,1992,605,0.6909595738588106,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1991,1993,562,0.6958381648567454,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1992,1994,546,0.7132480650393026,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1993,1995,494,0.7426483030831746,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1994,1996,489,0.7377380264350529,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1995,1997,482,0.7521063588685655,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1996,1998,531,0.7385699275281394,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1997,1999,526,0.7439117402650581,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1998,2000,525,0.7572328641774704,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,1999,2001,508,0.7495977974176165,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,2000,2002,526,0.7727462989512682,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,2001,2003,555,0.746633662080708,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,2002,2004,559,0.7581141802095682,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,2003,2005,670,0.7505981018928118,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,2004,2006,716,0.7739802889017674,reliable,396300,0.6994743713368489
3,strict,Strict 7,astronomy_space,Astronomy & space,2005,2007,753,0.7818815494741627,reliable,396300,0.6994743713368489
