comparison_label,candidate_model_id,baseline_model_id,domain12,domain_label,window_start,window_end,n,delta_spearman,display_delta,out_of_scale,status
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2004,2006,762,0.005895370379984222,0.005895370379984222,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2005,2007,913,0.015172817992221588,0.015172817992221588,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2006,2008,1079,0.025229103914552353,0.025229103914552353,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2007,2009,1201,0.024548913458183885,0.024548913458183885,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2008,2010,1189,0.020313629831469115,0.020313629831469115,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2009,2011,1213,0.013497042209620669,0.013497042209620669,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2010,2012,1357,0.012951007450478391,0.012951007450478391,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2011,2013,1962,0.013795164267925708,0.013795164267925708,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2012,2014,2856,0.01387717269589428,0.01387717269589428,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2013,2015,4317,0.009339709683754194,0.009339709683754194,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2014,2016,6317,0.011641704568460254,0.011641704568460254,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2015,2017,8169,0.008394444134257384,0.008394444134257384,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2016,2018,8952,0.011264978991438523,0.011264978991438523,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2017,2019,9117,0.012908240340194332,0.012908240340194332,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2018,2020,9156,0.025004426121448264,0.025004426121448264,False,reliable
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2019,2021,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,engineering_energy,Engineering & energy,2020,2022,0,,,False,not_mature
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1986,1988,1399,0.02109493777053606,0.02109493777053606,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1987,1989,1357,0.030157617218490862,0.030157617218490862,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1988,1990,1412,0.02878167486593608,0.02878167486593608,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1989,1991,1327,0.021637736437953525,0.021637736437953525,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1990,1992,1324,0.0135957456525293,0.0135957456525293,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1991,1993,1228,0.01438523901101374,0.01438523901101374,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1992,1994,1158,0.007989581119752787,0.007989581119752787,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1993,1995,1049,0.01242072998955357,0.01242072998955357,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1994,1996,1016,0.021709879674698174,0.021709879674698174,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1995,1997,1061,0.018647117422487036,0.018647117422487036,False,reliable
Primary 16 − Strict 7,primary,strict,earth_climate_environment,"Earth, climate & environment",1996,1998,1163,0.011363180404352913,0.011363180404352913,False,reliable
