w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.07661497,0.24034811,0.32713887,0.11478257,0.00453579,0.10108444,0.13549525,0.1673517758304729,0.026518921798378697
0.02554695,0.03194732,0.0294445,0.10618042,0.37294788,0.31580961,0.11812332,0.12349016342420024,-0.01734269060789395
0.01498169,0.61557629,0.03459431,0.09707616,0.00530921,0.11119085,0.12127149,0.13546048949957795,-0.005372364532516244
0.30296413,0.12765333,0.1744112,0.18046955,0.00835811,0.11750599,0.0886377,0.12310340910614398,-0.017729444925950216
0.21297582,0.17309959,0.36252395,0.03388265,0.00680136,0.10332926,0.10738737,0.15326960170548606,0.012436747673391868
0.21061895,0.11574543,0.08754464,0.02385301,0.16802242,0.07241913,0.32179642,0.13754401659422055,-0.003288837437873643
0.29199327,0.02178032,0.2853467,0.01202988,0.15458002,0.20129688,0.03297293,0.12552751470673346,-0.01530533932536074
0.1156729,0.02394896,0.35163636,0.15284613,0.24790416,0.05752662,0.05046488,0.16549249097927893,0.024659636947184732
0.2598582,0.04208305,0.23990623,0.16357984,0.04691906,0.23336021,0.01429342,0.11391667283107379,-0.026916181201020406
0.11163094,0.24148198,0.29464826,0.10183296,0.07304281,0.12912485,0.04823821,0.16070503902814534,0.019872184996051145
0.07505641,0.22315839,0.17465429,0.02188736,0.22954824,0.25846888,0.01722644,0.14496738210766677,0.004134528075572574
0.26024,0.11359401,0.03181069,0.08500188,0.10653123,0.26438054,0.13844165,0.1045073842292024,-0.036325469802891794
0.27293275,0.18000944,0.25391921,0.05129319,0.04592827,0.12194794,0.0739692,0.13982382208046135,-0.0010090319516328494
0.21526149,0.48583315,0.02896844,0.01922508,0.02438952,0.21961862,0.0067037,0.11727051250486024,-0.02356234152723395
0.14809523,0.1413813,0.05717107,0.16671544,0.40386366,0.0148945,0.0678788,0.13587631708151565,-0.004956536950578544
0.00978079,0.08252949,0.25088456,0.23772729,0.03651935,0.00350876,0.37904977,0.1665234426967937,0.025690588664699504
0.1451466,0.1031919,0.19019695,0.00725487,0.3049001,0.05726305,0.19204653,0.15286704200403434,0.012034187971940141
0.0637391,0.11496129,0.67267825,0.03520668,0.01781156,0.07638699,0.01921612,0.16067772015300347,0.01984486612090927
0.33352502,0.35089293,0.08361629,0.02809745,0.08208316,0.12015482,0.00163033,0.1203581723736297,-0.0204746816584645
0.22355817,0.09908089,0.05790374,0.00581814,0.09485432,0.33402007,0.18476467,0.10811141826997918,-0.03272143576211502
0.02092322,0.11302935,0.07561716,0.01524548,0.6011134,0.16409038,0.00998101,0.13318355587637018,-0.007649298155724016
0.29539236,0.07413278,0.50833587,0.05856775,0.00572236,0.04464028,0.01320859,0.1406651008266853,-0.00016775320540890482
0.12324645,0.27718101,0.05936998,0.35637615,0.15247218,0.01737679,0.01397745,0.1407928991497216,-3.9954882372600364e-05
0.28415792,0.01839354,0.29379862,0.02850998,0.00439222,0.275702,0.09504572,0.11445611113033047,-0.026376742901763728
